segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T20:58:18.917157,A,240p,200,374.35,0.5343,78.95,78.95,3.47,1,1,0.5343,0
2,2026-06-23T20:58:19.634515,A,240p,200,278.99,0.7169,122.53,92.02,6.75,1,0,0.0,0
3,2026-06-23T20:58:20.145864,A,360p,400,782.95,0.5109,28.52,72.97,10.24,1,0,0.0,0
4,2026-06-23T20:58:21.067769,A,360p,400,434.05,0.9216,74.24,73.35,13.32,1,0,0.0,0
5,2026-06-23T20:58:21.579459,A,360p,400,782.25,0.5113,36.97,62.44,14.49,1,0,0.0,0
6,2026-06-23T20:58:22.102619,A,360p,400,764.99,0.5229,19.13,49.45,14.48,1,0,0.0,0
7,2026-06-23T20:58:22.480626,A,360p,400,1059.25,0.3776,14.43,38.94,14.62,1,0,0.0,0
8,2026-06-23T20:58:22.880372,A,360p,400,1001.62,0.3994,20.81,33.5,14.6,1,0,0.0,0
9,2026-06-23T20:58:23.279045,A,360p,400,1004.23,0.3983,20.55,29.62,14.6,1,0,0.0,0
10,2026-06-23T20:58:23.689725,A,360p,400,974.5,0.4105,20.88,26.99,14.59,1,0,0.0,0
11,2026-06-23T20:58:24.083297,A,360p,400,1017.31,0.3932,24.39,26.21,14.61,1,0,0.0,0
12,2026-06-23T20:58:24.479943,A,360p,400,1009.09,0.3964,20.83,24.6,14.6,1,0,0.0,0
13,2026-06-23T20:58:24.886329,A,360p,400,985.38,0.4059,18.2,22.68,14.59,1,0,0.0,0
14,2026-06-23T20:58:25.281468,A,360p,400,1013.23,0.3948,22.22,22.54,14.61,1,0,0.0,0
15,2026-06-23T20:58:26.212560,srv-B,480p,800,726.63,0.8257,27.15,23.92,14.17,1,0,0.0,1
16,2026-06-23T20:58:26.794179,srv-B,360p,400,688.2,0.5812,26.96,24.84,14.42,1,0,0.0,1
17,2026-06-23T20:58:27.379766,srv-B,360p,400,683.66,0.5851,31.41,26.81,14.41,1,0,0.0,1
18,2026-06-23T20:58:27.979437,srv-B,360p,400,667.33,0.5994,30.05,27.78,14.4,1,0,0.0,1
19,2026-06-23T20:58:28.602120,srv-B,360p,400,642.66,0.6224,32.73,29.26,14.38,1,0,0.0,1
20,2026-06-23T20:58:29.176699,srv-B,360p,400,696.71,0.5741,30.54,29.65,14.43,1,0,0.0,1
21,2026-06-23T20:58:29.776959,srv-B,360p,400,666.78,0.5999,26.73,28.77,14.4,1,0,0.0,1
22,2026-06-23T20:58:30.380998,srv-B,360p,400,662.65,0.6036,29.84,29.09,14.4,1,0,0.0,1
23,2026-06-23T20:58:30.981372,srv-B,360p,400,666.69,0.6,23.11,27.3,14.4,1,0,0.0,1
24,2026-06-23T20:58:31.594443,srv-B,360p,400,652.84,0.6127,33.36,29.12,14.39,1,0,0.0,1
25,2026-06-23T20:58:32.174370,srv-B,360p,400,690.16,0.5796,26.13,28.22,14.42,1,0,0.0,1
26,2026-06-23T20:58:32.779641,srv-B,360p,400,661.25,0.6049,22.99,26.65,14.4,1,0,0.0,1
27,2026-06-23T20:58:33.377674,srv-B,360p,400,669.24,0.5977,29.79,27.59,14.4,1,0,0.0,1
28,2026-06-23T20:58:33.978888,srv-B,360p,400,665.63,0.6009,30.66,28.51,14.4,1,0,0.0,1
29,2026-06-23T20:58:34.597617,srv-B,360p,400,646.85,0.6184,37.98,31.35,14.38,1,0,0.0,1
30,2026-06-23T20:58:35.179590,srv-B,360p,400,687.73,0.5816,21.71,28.46,14.42,1,0,0.0,1
