segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-24T10:40:36.694800,A,240p,200,813.79,0.2458,11.13,11.13,3.75,1,1,0.2458,0
2,2026-06-24T10:40:36.934752,A,240p,200,834.55,0.2397,19.07,13.52,7.51,1,0,0.0,0
3,2026-06-24T10:40:37.156094,A,240p,200,904.93,0.221,17.27,14.64,11.29,1,0,0.0,0
4,2026-06-24T10:40:37.390962,A,240p,200,852.89,0.2345,13.47,14.29,14.77,1,0,0.0,0
5,2026-06-24T10:40:37.623902,A,240p,200,859.8,0.2326,19.6,15.88,14.77,1,0,0.0,0
6,2026-06-24T10:40:37.876398,A,240p,200,793.22,0.2521,16.3,16.01,14.75,1,0,0.0,0
7,2026-06-24T10:40:38.371205,A,360p,400,808.93,0.4945,30.48,20.35,14.51,1,0,0.0,0
8,2026-06-24T10:40:38.787243,A,360p,400,962.07,0.4158,22.16,20.89,14.58,1,0,0.0,0
9,2026-06-24T10:40:39.183321,A,360p,400,1010.51,0.3958,18.41,20.15,14.6,1,0,0.0,0
10,2026-06-24T10:40:39.583942,A,360p,400,999.32,0.4003,16.89,19.17,14.6,1,0,0.0,0
11,2026-06-24T10:40:39.983888,A,360p,400,1001.21,0.3995,22.27,20.1,14.6,1,0,0.0,0
12,2026-06-24T10:40:40.382373,A,360p,400,1004.77,0.3981,22.9,20.94,14.6,1,0,0.0,0
13,2026-06-24T10:40:40.787950,A,360p,400,987.01,0.4053,16.22,19.52,14.59,1,0,0.0,0
14,2026-06-24T10:40:41.132503,A,360p,400,1162.21,0.3442,21.61,20.15,14.66,1,0,0.0,0
15,2026-06-24T10:40:41.528683,A,360p,400,1010.48,0.3959,15.47,18.75,14.6,1,0,0.0,0
16,2026-06-24T10:40:41.913595,A,360p,400,1040.11,0.3846,20.59,19.3,14.62,1,0,0.0,0
17,2026-06-24T10:40:42.278818,A,360p,400,1096.22,0.3649,22.38,20.22,14.64,1,0,0.0,0
18,2026-06-24T10:40:42.619591,A,360p,400,1174.93,0.3404,16.79,19.19,14.66,1,0,0.0,0
19,2026-06-24T10:40:42.983970,A,360p,400,1098.77,0.364,18.63,19.02,14.64,1,0,0.0,0
20,2026-06-24T10:40:43.378092,A,360p,400,1015.85,0.3938,17.14,18.46,14.61,1,0,0.0,0
