segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-24T10:40:45.154974,A,240p,200,822.55,0.2431,16.3,16.3,3.76,1,1,0.2431,0
2,2026-06-24T10:40:45.368747,A,240p,200,937.14,0.2134,17.95,16.8,7.54,1,0,0.0,0
3,2026-06-24T10:40:45.794407,A,360p,400,941.31,0.4249,15.75,16.48,11.12,1,0,0.0,0
4,2026-06-24T10:40:46.184810,A,360p,400,1025.43,0.3901,19.29,17.33,14.61,1,0,0.0,0
5,2026-06-24T10:40:46.628065,A,360p,400,903.09,0.4429,23.5,19.18,14.56,1,0,0.0,0
6,2026-06-24T10:40:47.033321,A,360p,400,987.89,0.4049,35.72,24.14,14.6,1,0,0.0,0
7,2026-06-24T10:40:47.590310,A,360p,400,718.59,0.5566,18.66,22.5,14.44,1,0,0.0,0
8,2026-06-24T10:40:47.995429,A,360p,400,988.17,0.4048,22.67,22.55,14.6,1,0,0.0,0
9,2026-06-24T10:40:48.381839,A,360p,400,1036.04,0.3861,18.04,21.2,14.61,1,0,0.0,0
10,2026-06-24T10:40:48.785920,A,360p,400,990.69,0.4038,21.63,21.33,14.6,1,0,0.0,0
11,2026-06-24T10:40:49.187397,A,360p,400,997.45,0.401,21.02,21.24,14.6,1,0,0.0,0
12,2026-06-24T10:40:49.583171,A,360p,400,1011.59,0.3954,16.49,19.81,14.6,1,0,0.0,0
13,2026-06-24T10:40:50.110160,A,480p,800,1139.27,0.5267,20.71,20.08,14.47,1,0,0.0,0
14,2026-06-24T10:40:50.625288,A,480p,800,1165.54,0.5148,25.16,21.61,14.49,1,0,0.0,0
15,2026-06-24T10:40:51.113415,A,480p,800,1230.05,0.4878,20.57,21.29,14.51,1,0,0.0,0
16,2026-06-24T10:40:51.683892,A,480p,800,1052.38,0.5701,19.05,20.62,14.43,1,0,0.0,0
17,2026-06-24T10:40:52.205486,A,480p,800,1151.12,0.5212,20.32,20.53,14.48,1,0,0.0,0
18,2026-06-24T10:40:52.708406,A,480p,800,1193.98,0.5025,18.59,19.95,14.5,1,0,0.0,0
19,2026-06-24T10:40:53.209908,A,480p,800,1197.29,0.5011,15.67,18.67,14.5,1,0,0.0,0
20,2026-06-24T10:40:53.711644,A,480p,800,1196.77,0.5014,16.29,17.95,14.5,1,0,0.0,0
