segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T11:05:06.151350,A,240p,200,806.6,0.248,7.14,7.14,3.75,1,1,0.248,0
2,2026-06-23T11:05:06.692566,A,240p,200,369.77,0.5409,76.14,27.84,7.21,1,0,0.0,0
3,2026-06-23T11:05:07.143857,A,240p,200,443.57,0.4509,45.2,33.05,10.76,1,0,0.0,0
4,2026-06-23T11:05:07.674013,A,240p,200,377.51,0.5298,38.68,34.74,14.23,1,0,0.0,0
5,2026-06-23T11:05:08.163658,A,240p,200,408.78,0.4893,33.91,34.49,14.51,1,0,0.0,0
6,2026-06-23T11:05:08.541615,A,240p,200,529.63,0.3776,36.27,35.02,14.62,1,0,0.0,0
7,2026-06-23T11:05:09.136994,A,360p,400,672.28,0.595,41.49,36.96,14.41,1,0,0.0,0
8,2026-06-23T11:05:09.610345,A,360p,400,845.64,0.473,31.02,35.18,14.53,1,0,0.0,0
9,2026-06-23T11:05:10.385061,A,360p,400,516.54,0.7744,56.86,41.68,14.23,1,0,0.0,0
10,2026-06-23T11:05:11.905425,A,360p,400,263.15,1.52,49.36,43.99,13.48,1,0,0.0,0
11,2026-06-23T11:05:12.319840,A,240p,200,483.01,0.4141,29.82,39.73,14.59,1,0,0.0,0
12,2026-06-23T11:05:12.703240,A,240p,200,522.06,0.3831,28.76,36.44,14.62,1,0,0.0,0
13,2026-06-23T11:05:13.159693,A,240p,200,438.45,0.4562,21.49,31.96,14.54,1,0,0.0,0
14,2026-06-23T11:05:13.845959,A,360p,400,583.17,0.6859,42.74,35.19,14.31,1,0,0.0,0
15,2026-06-23T11:05:14.388002,A,360p,400,738.37,0.5417,42.81,37.48,14.46,1,0,0.0,0
16,2026-06-23T11:05:15.349501,A,360p,400,416.16,0.9612,77.79,49.57,14.04,1,0,0.0,0
17,2026-06-23T11:05:15.741342,A,360p,400,1021.62,0.3915,19.11,40.43,14.61,1,0,0.0,0
18,2026-06-23T11:05:16.177142,A,360p,400,918.59,0.4354,25.25,35.88,14.56,1,0,0.0,0
19,2026-06-23T11:05:16.597580,A,360p,400,952.09,0.4201,34.16,35.36,14.58,1,0,0.0,0
20,2026-06-23T11:05:17.087535,A,360p,400,816.99,0.4896,24.04,31.97,14.51,1,0,0.0,0
