segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-24T10:40:24.605956,A,480p,800,1129.05,0.5314,19.42,19.42,3.47,1,1,0.5314,0
2,2026-06-24T10:40:25.119761,A,480p,800,1168.6,0.5134,18.42,19.12,6.96,1,0,0.0,0
3,2026-06-24T10:40:25.884650,A,480p,800,784.77,0.7646,27.6,21.67,10.19,1,0,0.0,0
4,2026-06-24T10:40:26.423593,A,360p,400,742.61,0.5386,27.11,23.3,13.65,1,0,0.0,0
5,2026-06-24T10:40:26.793837,A,360p,400,1081.33,0.3699,17.57,21.58,14.63,1,0,0.0,0
6,2026-06-24T10:40:27.347709,A,480p,800,1083.97,0.5535,16.71,20.12,14.45,1,0,0.0,0
7,2026-06-24T10:40:27.888045,A,480p,800,1111.09,0.54,17.35,19.29,14.46,1,0,0.0,0
8,2026-06-24T10:40:28.406525,A,480p,800,1158.06,0.5181,20.99,19.8,14.48,1,0,0.0,0
9,2026-06-24T10:40:29.206085,A,480p,800,750.71,0.7992,37.44,25.09,14.2,1,0,0.0,0
10,2026-06-24T10:40:29.597453,A,360p,400,1023.0,0.391,18.18,23.02,14.61,1,0,0.0,0
11,2026-06-24T10:40:30.108714,A,480p,800,1174.43,0.5109,19.61,21.99,14.49,1,0,0.0,0
12,2026-06-24T10:40:30.641139,A,480p,800,1127.7,0.5321,20.45,21.53,14.47,1,0,0.0,0
13,2026-06-24T10:40:31.189325,A,480p,800,1095.18,0.5479,23.77,22.2,14.45,1,0,0.0,0
14,2026-06-24T10:40:31.716646,A,480p,800,1138.59,0.527,18.94,21.22,14.47,1,0,0.0,0
15,2026-06-24T10:40:32.220231,A,480p,800,1192.31,0.5032,18.44,20.39,14.5,1,0,0.0,0
16,2026-06-24T10:40:32.784206,A,480p,800,1064.68,0.5636,18.78,19.9,14.44,1,0,0.0,0
17,2026-06-24T10:40:33.322590,A,480p,800,1115.15,0.538,20.03,19.94,14.46,1,0,0.0,0
18,2026-06-24T10:40:33.877811,A,480p,800,1081.24,0.5549,19.0,19.66,14.45,1,0,0.0,0
19,2026-06-24T10:40:34.399810,A,480p,800,1150.11,0.5217,21.34,20.16,14.48,1,0,0.0,0
20,2026-06-24T10:40:34.924917,A,480p,800,1143.32,0.5248,17.53,19.37,14.48,1,0,0.0,0
